molecule_chembl_id,class_label,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL212019,inactive,CC1(C)CC(=O)c2c(NCc3ccco3)sc(C#N)c2C1,300.3830000000001,3.979980000000003,1.0,5.0,4.795880017344075
CHEMBL212399,inactive,CSc1nn(-c2c([N+](=O)[O-])c(C)nn2C)c(-c2cccs2)c1C#N,360.42400000000004,3.1445000000000016,0.0,9.0,4.7447274948966935
CHEMBL215733,inactive,O=S(=O)(Cc1[nH]c(-c2ccc(Cl)s2)c[s+]1)c1cccs1,362.93000000000006,4.774600000000001,1.0,4.0,4.7447274948966935
CHEMBL375130,inactive,Cc1nn(C)c(NCc2ccc(-c3cccs3)s2)c1[N+](=O)[O-],334.4260000000001,4.038820000000003,1.0,7.0,4.698970004336019
CHEMBL214372,inactive,O=C(Cc1nccs1)c1nccs1,210.28300000000002,2.025,0.0,5.0,4.3979400086720375
CHEMBL212218,active,Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,459.1850000000002,4.969820000000001,0.0,6.0,6.522878745280337
CHEMBL222840,active,O=C(Oc1cncc(Cl)c1)c1ccco1,223.615,2.5472,0.0,4.0,7.221848749616356
CHEMBL222769,active,O=C(Oc1cncc(Cl)c1)c1ccc(-c2ccc(Cl)cc2)o1,334.158,4.867600000000002,0.0,4.0,7.200659450546418
CHEMBL222735,active,COc1cccc(C(=O)Oc2cncc(Cl)c2)c1,263.68,2.9628000000000014,0.0,4.0,6.468521082957745
CHEMBL222628,active,O=C(Oc1cncc(Cl)c1)c1cscn1,240.67100000000002,2.4107000000000003,0.0,5.0,6.568636235841013
CHEMBL222893,active,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2s1,289.74300000000005,4.168900000000002,0.0,4.0,7.022276394711152
CHEMBL225515,active,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2[nH]1,272.69100000000003,3.435500000000001,1.0,3.0,7.187086643357144
CHEMBL222234,active,O=C(Oc1cncc(Br)c1)c1ccco1,268.066,2.6563000000000008,0.0,4.0,7.301029995663981
CHEMBL426898,active,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2o1,273.67500000000007,3.700400000000002,0.0,4.0,6.769551078621726
CHEMBL269277,inactive,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,456.7110000000003,7.089500000000009,2.0,2.0,5.0
